Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.056451613,0.025751073,0.017094017,0,0.038834951,0.025641026,0.080321285,-0.006369427,0.048387097,0,0.072202166,0,0.030634573,0.029350105,0.027149321,0,0.054393305,0.068681319,0.06993007,0,0.120401338,0.025990099,0.090196078,-0.006289308,0.048192771,0.046875,0.064638783,0,0.094594595,0.030927835,0.076923077,0.021857923,0.065517241,0.038961039,0.024752475,0,0.01734104,0.017647059,0.047619048,0,0.027972028,-0.028985507,0.03440367,0,0.076388889,0.031413613,0.010810811,0
30,0.112903226,0.034334764,0.021367521,0,0.077669903,0.072649573,0.164658635,-0.006369427,0.116129032,0,0.119133574,0,0.056892779,0.050314465,0.085972851,0,0.121338912,0.118131868,0.153846154,0,0.210702341,0.048267327,0.141176471,-0.006289308,0.092369478,0.057291667,0.117870722,0,0.12972973,0.072164948,0.158119658,0.038251366,0.148275862,0.095238095,0.069306931,0,0.057803468,0.035294118,0.111111111,0,0.060606061,-0.057971014,0.068807339,0,0.152777778,0.047120419,0.016216216,-0.006535948
45,0.185483871,0.030042918,0.02991453,0,0.126213592,0.132478632,0.220883534,-0.006369427,0.190322581,0,0.158844765,0.006535948,0.096280088,0.067085954,0.176470588,0,0.217573222,0.14010989,0.213286713,0,0.277591973,0.074257426,0.178431373,-0.006289308,0.152610442,0.091145833,0.182509506,0,0.145945946,0.103092784,0.247863248,0.049180328,0.251724138,0.173160173,0.128712871,0,0.086705202,0.064705882,0.169312169,0,0.102564103,-0.077294686,0.123853211,0,0.197916667,0.062827225,0.027027027,-0.006535948
60,0.245967742,0.051502146,0.055555556,0,0.189320388,0.188034188,0.269076305,-0.006369427,0.264516129,0,0.173285199,0.006535948,0.129102845,0.102725367,0.28959276,0,0.313807531,0.167582418,0.276223776,0,0.324414716,0.099009901,0.215686275,-0.006289308,0.232931727,0.145833333,0.247148289,0,0.194594595,0.164948454,0.346153846,0.054644809,0.382758621,0.272727273,0.212871287,0,0.138728324,0.094117647,0.243386243,0,0.153846154,-0.086956522,0.176605505,0,0.246527778,0.083769634,0.021621622,-0.006535948
75,0.362903226,0.064377682,0.08974359,0,0.242718447,0.256410256,0.333333333,-0.006369427,0.34516129,0,0.202166065,0.013071895,0.188183807,0.153039832,0.438914027,0,0.443514644,0.211538462,0.363636364,0,0.377926421,0.13490099,0.258823529,-0.006289308,0.341365462,0.205729167,0.315589354,0.012903226,0.259459459,0.25257732,0.457264957,0.06557377,0.527586207,0.385281385,0.326732673,0,0.202312139,0.141176471,0.338624339,0,0.219114219,-0.072463768,0.23853211,0,0.295138889,0.094240838,0.027027027,-0.006535948
90,0.508064516,0.068669528,0.14957265,0,0.339805825,0.320512821,0.397590361,-0.006369427,0.403225806,0,0.238267148,0.013071895,0.256017505,0.21802935,0.615384615,0.006535948,0.564853556,0.263736264,0.461538462,0,0.43812709,0.186881188,0.325490196,-0.006289308,0.473895582,0.268229167,0.391634981,0,0.332432432,0.365979381,0.594017094,0.06557377,0.662068966,0.536796537,0.475247525,0.006535948,0.271676301,0.188235294,0.444444444,0,0.291375291,-0.082125604,0.305045872,0,0.357638889,0.141361257,0.016216216,-0.006535948
105,0.633064516,0.094420601,0.230769231,0,0.427184466,0.384615385,0.457831325,-0.006369427,0.470967742,0,0.277978339,0.019607843,0.326039387,0.295597484,0.769230769,0.006535948,0.665271967,0.324175824,0.552447552,0,0.501672241,0.237623762,0.398039216,-0.006289308,0.586345382,0.330729167,0.463878327,0,0.408108108,0.463917526,0.726495726,0.071038251,0.806896552,0.67965368,0.653465347,0,0.352601156,0.241176471,0.571428571,0,0.365967366,-0.077294686,0.387614679,0,0.416666667,0.178010471,0.005405405,-0.006535948
120,0.85483871,0.141630901,0.329059829,0,0.524271845,0.47008547,0.53815261,-0.012738854,0.570967742,0,0.353790614,0.019607843,0.404814004,0.364779874,0.873303167,0.006535948,0.761506276,0.398351648,0.629370629,0,0.578595318,0.28960396,0.470588235,-0.006289308,0.702811245,0.401041667,0.543726236,0,0.494594595,0.577319588,0.841880342,0.071038251,0.968965517,0.831168831,0.856435644,0.006535948,0.439306358,0.3,0.708994709,0,0.442890443,-0.06763285,0.474770642,0,0.5,0.214659686,0,-0.006535948
135,1.088709677,0.193133047,0.452991453,0,0.63592233,0.564102564,0.626506024,-0.012738854,0.690322581,0,0.444043321,0.026143791,0.498905908,0.461215933,0.981900452,0.006535948,0.882845188,0.489010989,0.737762238,0,0.672240803,0.351485149,0.552941176,-0.006289308,0.831325301,0.502604167,0.661596958,0,0.597297297,0.716494845,0.97008547,0.071038251,1.131034483,0.978354978,1.044554455,0.006535948,0.554913295,0.352941176,0.862433862,0,0.536130536,-0.048309179,0.564220183,0,0.590277778,0.256544503,-0.010810811,-0.006535948
150,1.411290323,0.261802575,0.585470085,0,0.737864078,0.662393162,0.730923695,-0.012738854,0.8,0,0.534296029,0.026143791,0.603938731,0.570230608,1.140271493,0.006535948,1.020920502,0.601648352,0.870629371,0,0.789297659,0.418316832,0.645098039,-0.006289308,0.975903614,0.614583333,0.783269962,0,0.72972973,0.912371134,1.132478632,0.071038251,1.317241379,1.121212121,1.232673267,0.006535948,0.670520231,0.405882353,1.037037037,0,0.62004662,-0.024154589,0.669724771,0,0.697916667,0.287958115,-0.016216216,-0.006535948
165,1.725806452,0.343347639,0.713675214,0,0.868932039,0.786324786,0.847389558,-0.012738854,0.912903226,0,0.63898917,0.032679739,0.72428884,0.677148847,1.312217195,0.013071895,1.19665272,0.714285714,1.013986014,0,0.89632107,0.49009901,0.745098039,-0.006289308,1.124497992,0.721354167,0.91634981,0,0.883783784,1.113402062,1.307692308,0.071038251,1.5,1.29004329,1.440594059,0.006535948,0.820809249,0.464705882,1.253968254,0,0.706293706,-0.009661836,0.777522936,0,0.8125,0.335078534,-0.027027027,-0.006535948
180,2.040322581,0.442060086,0.858974359,0,1.004854369,0.914529915,0.959839357,-0.012738854,1.041935484,0,0.758122744,0.039215686,0.840262582,0.790356394,1.479638009,0.013071895,1.376569038,0.846153846,1.164335664,0,1.030100334,0.554455446,0.850980392,-0.006289308,1.281124498,0.838541667,1.060836502,0,1.02972973,1.293814433,1.491452991,0.071038251,1.696551724,1.458874459,1.673267327,0.006535948,0.976878613,0.535294118,1.444444444,0,0.792540793,0.019323671,0.901376147,0,0.930555556,0.376963351,-0.037837838,-0.006535948
195,2.342741935,0.56223176,1.025641026,0,1.184466019,1.064102564,1.092369478,-0.012738854,1.2,0,0.898916968,0.026143791,0.962800875,0.911949686,1.656108597,0.013071895,1.569037657,0.980769231,1.314685315,0,1.177257525,0.628712871,0.956862745,-0.006289308,1.469879518,0.9609375,1.231939163,0,1.181081081,1.479381443,1.679487179,0.076502732,1.910344828,1.649350649,1.930693069,0.006535948,1.138728324,0.617647059,1.634920635,0,0.895104895,0.028985507,1.032110092,0,1.069444444,0.434554974,-0.048648649,-0.006535948
